code,name,zcode
010-001,МВД ПО РЕСП. АДЫГЕЯ,01001
010-001,ОТДЕЛЕНИЕМ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В Г. МАЙКОПЕ,01001
010-002,МВД ПО РЕСП. АДЫГЕЯ,01002
010-002,ОТДЕЛЕНИЕМ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В МАЙКОПСКОМ РАЙОНЕ,01002
010-002,ОТДЕЛЕНИЕМ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ПОС. ТУЛЬСКИЙ,01002
010-002,ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ПОС. ТУЛЬСКИЙ,01002
010-003,МВД ПО РЕСП. АДЫГЕЯ,01003
010-003,ОТДЕЛЕНИЕМ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В АУЛЕ ТАХТАМУКАЙ,01003
010-003,ОТДЕЛЕНИЕМ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ТАХТАМУКАЙСКОМ РАЙОНЕ,01003
010-003,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В АУЛЕ ТАХТАМУКАЙ,01003
010-004,МВД ПО РЕСП. АДЫГЕЯ,01004
010-004,МП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В КРАСНОГВАРДЕЙСКОМ РАЙОНЕ,01004
010-004,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В КРАСНОГВАРДЕЙСКОМ РАЙОНЕ,01004
010-005,МВД ПО РЕСП. АДЫГЕЯ,01005
010-005,ОВМ МЕЖМУНИЦИПАЛЬНОГО ОМВД РОССИЙСКОЙ ФЕДЕРАЦИИ АДЫГЕЙСКИЙ,01005
010-005,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В Г. АДЫГЕЙСКЕ И ТЕУЧЕЖСКОМ РАЙОНЕ,01005
010-005,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ТЕУЧЕЖСКОМ РАЙОНЕ,01005
010-006,КОШЕХАБЛЬСКИМ МРО ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ,01006
010-006,МВД ПО РЕСП. АДЫГЕЯ,01006
010-006,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В КОШЕХАБЛЬСКОМ РАЙОНЕ,01006
010-007,МВД ПО РЕСП. АДЫГЕЯ,01007
010-007,МП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ГИАГИНСКОМ РАЙОНЕ,01007
010-007,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ГИАГИНСКОМ РАЙОНЕ,01007
010-008,МВД ПО РЕСП. АДЫГЕЯ,01008
